Code,Name,Year,GDP,emp,rnna,hc,infl,hd30,cdd,r20mm
ARG,Argentina,1960,327019.34375,7.57764291763306,816702.75,1.95386576652527,27.28418,18.28,4.0000000000000036,-1.6540000000000008
ARG,Argentina,1961,337660.5625,7.67295646667481,878633.75,1.96492779254913,13.51399,10.668181818181814,8.796363636363637,-0.5536363636363628
ARG,Argentina,1962,339820.9375,7.77618455886841,925532.4375,1.9760525226593,28.05955,15.059166666666664,12.133333333333333,-2.5074999999999985
ARG,Argentina,1963,327342.6875,7.88867855072022,952883.25,1.98724031448364,24.07401,3.360769230769229,0.509999999999998,0.49538461538461753
ARG,Argentina,1964,352784.5,7.98553991317749,999868.4375,1.99849140644073,22.13781,3.700714285714284,13.473571428571432,-2.1499999999999995
ARG,Argentina,1965,385236.90625,8.0875244140625,1047281.5625,2.00980615615845,28.58496,13.324000000000003,-4.5646666666666675,-1.666666666666667
ARG,Argentina,1966,386146.21875,8.19963932037354,1088177.25,2.02271342277527,31.86142,0.00124999999999886,5.570625,-0.14250000000000007
ARG,Argentina,1967,396909,8.2967119216919,1130581.375,2.03570342063904,29.22604,9.111176470588234,1.7829411764705867,2.235882352941177
ARG,Argentina,1968,417411.03125,8.40144634246826,1179486.625,2.04877686500549,16.2273,8.024999999999999,3.4138888888888914,0.8816666666666659
ARG,Argentina,1969,455670.46875,8.48287391662598,1249613.125,2.06193423271179,7.578273,15.652631578947364,5.284210526315796,1.3852631578947374
ARG,Argentina,1970,470236.90625,8.57740497589111,1318808.875,2.07517623901367,13.57761,9.679999999999993,6.840000000000003,-0.07399999999999984
ARG,Argentina,1971,487923.25,8.65678024291992,1394710.625,2.09646344184876,34.72416,8.359047619047615,10.29428571428572,-0.800476190476191
ARG,Argentina,1972,498060.84375,8.74315738677979,1468528,2.1179690361023,58.45499,4.569090909090896,-1.5736363636363606,1.415909090909091
ARG,Argentina,1973,516708.90625,8.83120441436768,1528677.875,2.1396951675415,60.30293,-1.4995652173913143,-0.6852173913043416,2.474347826086957
ARG,Argentina,1974,544641.75,9.16103172302246,1591252.25,2.16164422035217,24.21354,-2.6270833333333385,-3.0466666666666633,-0.21875
ARG,Argentina,1975,541411.75,9.26017761230469,1652333.125,2.18381834030151,182.7994,4.42799999999999,-2.1947999999999936,0.46000000000000085
ARG,Argentina,1976,541351.3125,9.23285484313965,1724784.875,2.19690632820129,444.0138,-1.1623076923076925,0.4996153846153888,0.2423076923076923
ARG,Argentina,1977,575913.5,9.45600986480713,1823331.625,2.21007299423218,176.031,6.450740740740741,-2.2788888888888863,0.14333333333333265
ARG,Argentina,1978,557362.1875,9.59162712097168,1895201.375,2.22331833839417,175.5097,3.880357142857136,3.4425000000000097,0.9782142857142856
ARG,Argentina,1979,596473,9.75939464569092,1974660.5,2.23664307594299,159.5101,-1.9534482758620797,1.47379310344828,0.9144827586206912
ARG,Argentina,1980,605140.75,9.78753852844238,2058199.75,2.25004768371582,100.7651,14.471666666666664,1.844666666666669,0.9540000000000024
ARG,Argentina,1981,572360.5625,9.83670520782471,2114802.75,2.28316402435303,104.4758,0.8748387096774195,-0.5848387096774204,0.30322580645161246
ARG,Argentina,1982,554266.875,9.98936080932617,2144526.5,2.3167679309845,164.7767,4.3074999999999974,-6.4065625,0.34375
ARG,Argentina,1983,577060.25,10.3157749176025,2175729.75,2.3508665561676,343.8091,6.9869696969696875,-2.9424242424242415,0.8133333333333344
ARG,Argentina,1984,588633.1875,10.5572557449341,2202909,2.38546681404114,626.7217,-5.178529411764707,-5.735882352941186,2.7194117647058835
ARG,Argentina,1985,547687.3125,10.6875839233398,2215763.25,2.42057633399963,672.1798,1.63942857142856,-5.382000000000005,2.2217142857142864
ARG,Argentina,1986,586812,10.9587926864624,2239318.75,2.44188833236694,90.09358,4.443888888888878,-4.352500000000003,1.6900000000000013
ARG,Argentina,1987,601674.75,11.1771202087402,2276186.75,2.46338820457459,131.331,5.683783783783774,-0.554864864864868,0.7343243243243247
ARG,Argentina,1988,589925.5,11.3988361358643,2308918.75,2.48507714271545,342.955,12.284210526315782,7.489736842105259,-1.6449999999999996
ARG,Argentina,1989,548568.4375,11.4962272644043,2318552.5,2.50695705413818,3079.469,15.059230769230751,-0.7923076923076948,-1.1928205128205107
ARG,Argentina,1990,541225.25,11.8114786148071,2316432,2.52902960777283,2313.965,-0.6372500000000088,-0.20250000000000057,1.447000000000001
ARG,Argentina,1991,598032.5,12.1906824111938,2337542.75,2.55256795883179,171.6717,-3.351707317073185,-6.507560975609753,2.8117073170731715
ARG,Argentina,1992,659656.875,12.3859348297119,2388928.5,2.57097387313843,24.89994,-5.681904761904775,-4.152619047619048,2.1747619047619065
ARG,Argentina,1993,700896.375,12.3450126647949,2457381,2.58705997467041,10.61152,5.94023255813952,2.163953488372094,0.634186046511628
ARG,Argentina,1994,741802.4375,12.4161834716797,2540939.25,2.60324645042419,4.177332,8.715227272727255,-1.0352272727272762,0.22977272727272968
ARG,Argentina,1995,720696.3125,11.8353137969971,2597811.25,2.6195344924926798,3.376141,8.201555555555544,3.117777777777775,-2.4053333333333313
ARG,Argentina,1996,760526.75,12.1372137069702,2664185.75,2.62702393531799,0.1556414,3.4532608695651987,1.7099999999999935,0.25695652173913075
ARG,Argentina,1997,822213.5625,12.7625093460083,2753937,2.63453459739685,0.5285887,7.539787234042542,-5.116382978723408,0.971489361702128
ARG,Argentina,1998,853870.25,13.3511428833008,2850290,2.64206695556641,0.885049,-9.177291666666676,-1.8897916666666672,1.0712500000000027
ARG,Argentina,1999,824962.8125,13.461275100708,2917020.25,2.64962077140808,-1.127867,3.809999999999988,-5.771224489795923,0.06938775510204209
ARG,Argentina,2000,818454,13.5983610153198,2969278.5,2.65719604492188,-0.1546154,-4.216200000000008,-1.1458000000000013,1.9680000000000015
ARG,Argentina,2001,782369.6875,13.505482673645,2996496.25,2.68300294876099,-1.065365,7.726470588235294,-1.7833333333333383,1.6894117647058842
ARG,Argentina,2002,697134.5,13.4126663208008,2974311.25,2.70905995368958,25.8685,3.967884615384612,-3.1990384615384677,2.4169230769230783
ARG,Argentina,2003,758740.625,14.0691041946411,2987798.25,2.73537039756775,13.44285,9.90301886792453,2.611320754716978,-0.9886792452830182
ARG,Argentina,2004,827251.625,14.9968576431274,3045520.75,2.76193618774414,4.415718,11.029629629629632,0.0429629629629531,-1.4403703703703703
ARG,Argentina,2005,900477.125,15.7495889663696,3125045.5,2.7887601852417,9.641663,8.17909090909091,-2.1878181818181908,-1.4141818181818184
ARG,Argentina,2006,972939.75,16.2981224060059,3225173,2.7969753742218,10.8978,10.753035714285724,5.1912499999999895,-0.7089285714285722
ARG,Argentina,2007,1060578.875,16.9614124298096,3358898.25,2.80521464347839,14.30391,5.74438596491229,3.96017543859648,-0.5464912280701757
ARG,Argentina,2008,1103609,17.3702507019043,3500743,2.81347823143005,22.93376,13.155344827586203,5.731896551724134,-2.3970689655172412
ARG,Argentina,2009,1038291.6875,17.5620536804199,3574509.25,2.82176613807678,16.53515,18.932372881355924,6.674745762711858,-1.896440677966103
ARG,Argentina,2010,1143422.75,18.0767459869385,3694759.75,2.83007836341858,22.45452,6.9468333333333305,7.24349999999999,-1.1248333333333331
ARG,Argentina,2011,1212073.375,18.4880313873291,3844723,2.8585422039032,24.30076,8.732950819672126,1.7447540983606515,-2.28639344262295
ARG,Argentina,2012,1199632.5,18.7912883758545,3963128.25,2.88729238510132,23.41039,14.622096774193544,3.7666129032257984,-0.17951612903225822
ARG,Argentina,2013,1228487.5,19.124418258667,4081183.25,2.91633176803589,24.57876,18.089999999999996,4.646825396825392,-2.756666666666667
ARG,Argentina,2014,1197620.25,19.3830509185791,4177142.5,2.9456627368927,39.47392,4.627343749999994,-2.1957812500000102,1.2864062500000006
ARG,Argentina,2015,1230329.125,19.8544502258301,4277609,2.97528910636902,29.28398,4.66615384615384,0.5479999999999876,-0.14338461538461544
ARG,Argentina,2016,1204734.25,19.7231750488281,4359475,3.00521349906921,38.2736,4.7854545454545345,0.9996969696969628,-0.1212121212121211
ARG,Argentina,2017,1238689.875,20.0336608886719,4468098.5,3.03543877601624,26.80145,8.694029850746261,-5.325223880597026,0.08059701492537208
ARG,Argentina,2018,1206268.25,20.1350708007813,4558053,3.06596803665161,34.1503,13.526176470588233,-1.0769117647058977,-1.590588235294118
ARG,Argentina,2019,1182132.5,20.6432781219482,4605820,3.09680438041687,54.38623,5.480144927536223,5.138695652173901,-1.2675362318840584
ARG,Argentina,2020,1065095.75,18.7495632171631,4625739,3.12795066833496,40.40476,21.78185714285714,7.535285714285699,-3.3094285714285707
ARG,Argentina,2021,1176311,20.9869899749756,4714402.5,3.13874697685242,48.04678,14.19507042253521,9.53915492957745,-2.7028169014084504
ARG,Argentina,2022,1238301.125,22.083532333374,4829826,3.14963102340698,72.35871,14.007916666666652,9.77666666666665,-3.8552777777777782
ARG,Argentina,2023,1218352.25,22.7903251647949,4936365.5,3.16060328483582,117.2037,22.566027397260264,8.142739726027386,-2.7624657534246584
AUS,Australia,1960,216140.953125,4.15227031707764,1100372.25,2.74675846099854,3.728814,-5.231999999999999,-7.480999999999995,0.11400000000000032
AUS,Australia,1961,219088.328125,4.16426372528076,1135589.375,2.76815295219421,2.287582,11.03363636363636,17.819090909090917,-1.246363636363636
AUS,Australia,1962,232842.765625,4.26416921615601,1182194.125,2.78971362113953,-0.3194888,0.7041666666666515,-9.755833333333342,-0.04249999999999954
AUS,Australia,1963,248562.109375,4.38606357574463,1231092.375,2.81144237518311,0.6410257,-10.159999999999997,11.264615384615382,0.7507692307692304
AUS,Australia,1964,264281.46875,4.54341506958008,1290835.375,2.8333406448364298,2.866242,-1.8842857142856817,-7.939999999999998,-0.112857142857143
AUS,Australia,1965,270176.1875,4.68104219436646,1344057.5,2.8554093837738,3.405573,7.681333333333356,7.99933333333334,-0.6253333333333333
AUS,Australia,1966,286878,4.84978771209717,1402941.625,2.87764978408813,3.293413,-4.5887500000000045,-12.040624999999991,-0.4762500000000003
AUS,Australia,1967,301614.90625,5.00150632858276,1463248.5,2.90006351470947,3.478261,-6.768823529411776,25.637647058823543,0.6217647058823532
AUS,Australia,1968,323228.96875,5.12361621856689,1535040.75,2.92265176773071,2.521008,-8.992777777777746,-17.48666666666665,1.647222222222222
AUS,Australia,1969,346807.96875,5.26686716079712,1611390.25,2.94541621208191,3.278688,2.9505263157894888,5.933684210526323,-0.7494736842105265
AUS,Australia,1970,360562.40625,5.46656227111816,1685673.5,2.96835780143738,3.439153,1.863000000000028,16.517000000000024,-1.0620000000000005
AUS,Australia,1971,374662.03125,5.64900827407837,1761507.25,2.99199271202087,6.138107,-9.155714285714282,-12.949523809523797,0.02857142857142847
AUS,Australia,1972,384476.6875,5.76099920272827,1838995.375,3.01581621170044,6.024096,-1.639545454545441,24.219090909090923,-0.47272727272727266
AUS,Australia,1973,400267.59375,5.92150211334229,1919370.5,3.03982925415039,9.090909,-0.9182608695652164,-32.07391304347824,2.0878260869565213
AUS,Australia,1974,405614.21875,6.03445529937744,1984156.125,3.06403350830078,15.41667,-36.05999999999999,-23.31749999999998,4.040833333333333
AUS,Australia,1975,416113.34375,6.01168203353882,2050902.75,3.08843040466309,15.16245,-20.887599999999964,-14.62479999999998,2.3091999999999997
AUS,Australia,1976,431073.09375,6.09550762176514,2120486.75,3.11302161216736,13.32288,-25.874230769230792,22.987692307692328,1.240384615384615
AUS,Australia,1977,434924.65625,6.14987134933472,2192115.25,3.13780879974365,12.30982,-1.2959259259259284,10.196296296296325,0.5344444444444436
AUS,Australia,1978,452540.96875,6.17055416107178,2274668.75,3.16279315948486,8.004926,-1.1796428571428803,-26.277857142857123,0.6353571428571421
AUS,Australia,1979,466278.5625,6.25266456604004,2355175.5,3.18797659873962,9.122006,7.371034482758631,-12.571724137931014,0.03344827586206822
AUS,Australia,1980,481852.09375,6.43097400665283,2451078.75,3.21336030960083,10.13584,20.655333333333317,-4.292666666666648,-0.3676666666666679
AUS,Australia,1981,497875.53125,6.52753734588623,2551982.25,3.23260474205017,9.487666,10.449032258064506,-17.04419354838707,1.2041935483870958
AUS,Australia,1982,486801,6.53168630599976,2626699.5,3.25196480751038,11.35182,0.5524999999999807,10.758437500000014,-0.5834375000000014
AUS,Australia,1983,509163.40625,6.42645740509033,2705562.5,3.27144050598145,10.03891,-0.06424242424245108,-4.417575757575747,0.8042424242424229
AUS,Australia,1984,536039.375,6.64158773422241,2796189.25,3.29103326797485,3.960396,-9.9523529411764855,-14.367647058823522,1.6905882352941155
AUS,Australia,1985,557300.5,6.86523818969727,2891848.25,3.31074285507202,6.734694,2.6419999999999675,2.5128571428571576,-0.8077142857142876
AUS,Australia,1986,571565.1875,7.15787935256958,2981028,3.33057069778442,9.090435,8.848611111111097,-18.47694444444444,-0.6652777777777796
AUS,Australia,1987,604474.9375,7.32305145263672,3077088,3.35051727294922,8.487576,4.729459459459434,-10.847567567567566,0.5027027027027007
AUS,Australia,1988,627888.4375,7.60127115249634,3185545.75,3.37058329582214,7.212056,10.465000000000003,-7.632105263157882,0.5894736842105246
AUS,Australia,1989,650350.5625,7.9344048500061,3286824.25,3.39076972007751,7.580321,-3.9133333333333553,2.5335897435897436,0.11435897435897324
AUS,Australia,1990,647864.5625,8.06645011901856,3360047.25,3.41107678413391,7.232851,12.684499999999986,-3.379750000000002,-0.3785000000000016
AUS,Australia,1991,650639.25,7.87423372268677,3420984.75,3.42362284660339,3.307224,13.505121951219508,11.812682926829268,0.7507317073170716
AUS,Australia,1992,676968.875,7.83751249313355,3492737.75,3.43621516227722,0.968829,-0.7864285714285586,-15.448571428571428,-0.5471428571428589
AUS,Australia,1993,703914.875,7.87055444717407,3572427.75,3.4488537311554,1.75219,3.411860465116291,-17.06930232558139,0.8655813953488352
AUS,Australia,1994,731268.4375,8.1211748123169,3669155.75,3.46153879165649,1.927019,8.234318181818196,40.408636363636376,-1.1940909090909102
AUS,Australia,1995,759523.875,8.4172887802124,3763744.75,3.4742705821991,4.625905,1.4613333333333571,-12.26933333333332,0.7724444444444423
AUS,Australia,1996,789245.9375,8.6054220199585,3864806.25,3.48704934120178,2.652826,13.05956521739131,-13.642608695652171,0.23565217391304216
