code,name,year,hd30,r20mm
AUS,Australia,1950,149.96,6.08
AUS,Australia,1951,169.27,2.64
AUS,Australia,1952,164.83,2.88
AUS,Australia,1953,159.76,3.91
AUS,Australia,1954,159.73,3.33
AUS,Australia,1955,156.05,4.77
AUS,Australia,1956,144.55,5.81
AUS,Australia,1957,171.14000000000001,3.5300000000000002
AUS,Australia,1958,175.22,2.7199999999999998
AUS,Australia,1959,165.77,3.82
AUS,Australia,1960,156.4,4.07
AUS,Australia,1961,172.19,2.7
AUS,Australia,1962,162.79,3.81
AUS,Australia,1963,151.96,4.6
AUS,Australia,1964,159.52,3.78
AUS,Australia,1965,168.96,3.2800000000000002
AUS,Australia,1966,157.15,3.38
AUS,Australia,1967,154.72,4.45
AUS,Australia,1968,152.15,5.5
AUS,Australia,1969,163.59,3.1999999999999997
AUS,Australia,1970,162.65,2.84
AUS,Australia,1971,151.72,3.9
AUS,Australia,1972,158.82,3.39
AUS,Australia,1973,159.47,5.92
AUS,Australia,1974,124.27,7.96
AUS,Australia,1975,138.02,6.4
AUS,Australia,1976,132.24,5.42
AUS,Australia,1977,155.86,4.75
AUS,Australia,1978,155.93,4.87
AUS,Australia,1979,164.42,4.31
AUS,Australia,1980,177.98,3.9
AUS,Australia,1981,168.42,5.46
AUS,Australia,1982,158.83,3.72
AUS,Australia,1983,158.25,5.07
AUS,Australia,1984,148.35,6
AUS,Australia,1985,160.68,3.52
AUS,Australia,1986,166.96,3.67
AUS,Australia,1987,163.08,4.82
AUS,Australia,1988,168.92,4.92
AUS,Australia,1989,154.83,4.44
AUS,Australia,1990,171.32,3.96
AUS,Australia,1991,172.46,5.07
AUS,Australia,1992,158.48,3.79
AUS,Australia,1993,162.66,5.2
AUS,Australia,1994,167.56,3.1599999999999997
AUS,Australia,1995,160.97,5.1
AUS,Australia,1996,172.6,4.6
AUS,Australia,1997,168.39,5.069999999999999
AUS,Australia,1998,174.16,5.58
AUS,Australia,1999,157.84,5.05
AUS,Australia,2000,148.99,7.46
AUS,Australia,2001,154.69,5.21
AUS,Australia,2002,182.72,2.79
AUS,Australia,2003,172.62,4.79
AUS,Australia,2004,172.42,4.44
AUS,Australia,2005,184.83,3.34
AUS,Australia,2006,165.68,4.53
AUS,Australia,2007,172.6,5.07
AUS,Australia,2008,164.85999999999999,4.54
AUS,Australia,2009,177.88,4.48
AUS,Australia,2010,153.34,7
AUS,Australia,2011,144.87,7.220000000000001
AUS,Australia,2012,166.16,4.66
AUS,Australia,2013,187.82,3.88
AUS,Australia,2014,178.44,4.98
AUS,Australia,2015,177.97,4.46
AUS,Australia,2016,177.39000000000001,4.71
AUS,Australia,2017,181.02,4.53
AUS,Australia,2018,179.93,3.83
AUS,Australia,2019,188.39,2.18
AUS,Australia,2020,177.9,5.31
AUS,Australia,2021,166.66,5.21
AUS,Australia,2022,159.43,6.33
AUS,Australia,2023,177.81,4.91
AUS,Australia,2024,180.02,6.27
BGD,Bangladesh,1950,125.97,34.82
BGD,Bangladesh,1951,140.95,38.98
BGD,Bangladesh,1952,134.51,29.419999999999998
BGD,Bangladesh,1953,113.24,44.68
BGD,Bangladesh,1954,161.46,32.13
BGD,Bangladesh,1955,178.10999999999999,27.009999999999998
BGD,Bangladesh,1956,170.28,33.839999999999996
BGD,Bangladesh,1957,193.84,23.19
BGD,Bangladesh,1958,183.44,35.03
BGD,Bangladesh,1959,141.71,41.82
BGD,Bangladesh,1960,182.63,32.92
BGD,Bangladesh,1961,175.53,23.79
