name,media_hd30,classe_clima
Algeria,183.0592,Caldo
Arab Republic of Egypt,178.51426666666666,Caldo
Argentina,55.10346666666667,Caldo
Australia,164.08293333333333,Caldo
Bangladesh,185.43053333333333,Caldo
Brazil,179.12306666666666,Caldo
Cambodia,268.38773333333336,Caldo
Canada,1.4490666666666667,Freddo
China,30.47746666666667,Caldo
Colombia,120.18213333333333,Caldo
Ecuador,46.1612,Caldo
Ethiopia,148.84146666666666,Caldo
France,7.874266666666667,Freddo
Germany,3.828,Freddo
India,192.97493333333333,Caldo
Indonesia,120.52933333333333,Caldo
Islamic Republic of Iran,126.20426666666667,Caldo
Italy,17.786666666666665,Caldo
Japan,14.012133333333333,Caldo
Kenya,206.3152,Caldo
Malaysia,160.62786666666668,Caldo
Mexico,114.93413333333334,Caldo
Morocco,87.62826666666666,Caldo
Nigeria,259.25533333333334,Caldo
Pakistan,176.74466666666666,Caldo
Peru,75.76253333333334,Caldo
Philippines,102.2436,Caldo
R. B. de Venezuela,171.842,Caldo
Republic of Korea,21.0048,Caldo
Russian Federation,3.445333333333333,Freddo
Saudi Arabia,218.70546666666667,Caldo
Senegal,323.25466666666665,Caldo
South Africa,76.0164,Caldo
Spain,37.2668,Caldo
Sweden,0.19066666666666668,Freddo
Thailand,231.144,Caldo
Türkiye,36.487066666666664,Caldo
United Arab Emirates,238.34986666666666,Caldo
United Kingdom,0.20693333333333333,Freddo
United States of America,49.559066666666666,Caldo
Vietnam,126.99906666666666,Caldo
