Code,Name,Year,GDP,GCF,POP,LIFE_EXP,GOV_EXP,TRADE,cdd,hd30,r20mm
ARG,Argentina,1960,150797810295.884,29433023837.6832,1.7963178979213354,64.242,9.88044509523395,15.2080960873797,146.02,59.09,7.7
ARG,Argentina,1961,158982878499.524,32281366923.7204,1.65516691395024,64.631,7.78963204832989,11.9898923109727,143.28,53.16,8.68
ARG,Argentina,1962,157628310158.567,29433023837.6832,1.65684089054911,64.618,12.1923745358372,14.0755256495637,166.85,58.44,6.65
ARG,Argentina,1963,149261089202.812,24211014003.408,1.64339841718671,64.855,10.2521949603684,15.7809062353749,133.29,47.9,9.47
ARG,Argentina,1964,164381681831.918,31094538440.9429,1.61030882522813,64.816,7.22902581011462,11.1274296795488,156.43,48.48,6.88
ARG,Argentina,1965,181755894112.433,32281366923.7204,1.56411446631364,65.053,8.08948631250583,10.3764574099485,139.7,58.35,7.2
ARG,Argentina,1966,180556802912.311,31094573232.6268,1.53151134539948,65.398,10.8043385563998,11.6426054171411,150.78,45.86,8.63
ARG,Argentina,1967,186320169964.576,32281488602.3314,1.52552564515699,65.467,9.73927816603499,12.4926603729179,133.25,54.96,10.99
ARG,Argentina,1968,195305461613.156,35129893689.8064,1.5300700621594,65.234,9.82935062849218,11.8881648852942,138.78,54.4,9.76
ARG,Argentina,1969,214210104570.482,43200298767.1177,1.53510695155484,65.085,9.50117537009171,12.7974266330598,145.97,62.44,10.3
ARG,Argentina,1970,220734180309.322,44163994201.2754,1.56001941277121,65.647,9.74254326207249,10.3374440809233,147.71,57.24,8.93
ARG,Argentina,1971,233223609573.669,48991927532.3955,1.57425828869798,65.619,10.1462160701663,12.6151889155439,155.45,56.39,8.19
ARG,Argentina,1972,237021461356.448,49490266251.1826,1.58329622607322,65.953,9.3516969606052,14.0356431972715,129.32,52.97,10.37
ARG,Argentina,1973,243685921868.226,47164202352.7723,1.61675611830692,66.186,11.5393235681285,13.3221685115576,132.74,47.120000000000005,11.48
ARG,Argentina,1974,257171024124.452,47686429445.1561,1.64473215761616,66.405,13.1532327349931,13.1915798576321,145.63,45.93,8.89
ARG,Argentina,1975,257097956426.363,48540998138.9485,1.60810835620248,66.965,12.5891776401825,11.8027242947756,139.39,52.87,9.58
ARG,Argentina,1976,251909073021.038,51911387021.9374,1.56523230766791,67.03,9.42009472768441,15.0968846242519,146.75,47.44,9.38
ARG,Argentina,1977,269376820356.431,62759021166.3979,1.58361041281169,67.595,9.01540997692467,16.942286567935,136.55,55.03,9.27
ARG,Argentina,1978,257238364643.474,52765955715.7298,1.59885003313826,67.999,11.1661116654098,14.3237963724369,140.93,52.68,10.12
ARG,Argentina,1979,283535234199.299,58154183585.4888,1.59684779867466,68.434,11.0078459559273,12.8406846411368,145.77,46.99,10.09
ARG,Argentina,1980,287841521828.634,62868748841.4001,1.59304228632554,68.576,10.027016665010095,11.5456724606844,138,63.34,10.15
ARG,Argentina,1981,272903153784.458,53453563949.8048,1.60201232076144,68.858,10.258532397158566,14.2929774788834,144.44,50.21,9.56
ARG,Argentina,1982,270895516738.16,42793381597.0775,1.60420679867482,68.973,8.423985658816774,15.6114860999886,124.04,53.69,9.59
ARG,Argentina,1983,282677015450.457,42964345046.4624,1.6019042448548,69.29,7.946174221287426,14.9876701068591,140.73,56.48,10.06
ARG,Argentina,1984,287117132733.287,41188032061.1422,1.59235691940308,69.353,6.826668747965975,12.3463814292217,119.52,44.51,12
ARG,Argentina,1985,272218554792.861,35378578810.2516,1.57262930146869,69.879,5.879730461361064,18.009425070688,128.53,51.18,11.56
ARG,Argentina,1986,288969188904.054,39284648677.2558,1.55539122422629,70.281,5.292630364819046,14.4860327921395,133.43,54.04,11.13
ARG,Argentina,1987,296785426416.393,44366479385.8286,1.54512926233209,70.699,4.7144944990421,15.448969882952,141.04,55.41,10.21
ARG,Argentina,1988,293550663101.649,42804898715.3761,1.54990330404865,71.097,4.32191028434568,15.743458608705,156.12,62.13,7.83
ARG,Argentina,1989,272541389928.67,33558372773.4109,1.53134817062707,71.502,4.49439596541391,19.6377977018838,141.27,65.23,8.24
ARG,Argentina,1990,265817211205.311,27903757037.259,1.49157462934909,71.615,3.13542839161188,14.9908589999441,138.64,49.93,10.86
ARG,Argentina,1991,290094591011.844,36258610274.8512,1.43788006980649,72.02,3.32176128752774,13.7530541588891,131.18,47.2,12.27
ARG,Argentina,1992,313120244489.89,48094677583.604,1.38438120034139,72.096,2.97553802761558,14.730980586353,125.9,44.8,11.67
ARG,Argentina,1993,338817957426.035,55002965429.062,1.35364018555542,72.303,13.5103784728742,16.223151447784,148.68,56.28,10.21
ARG,Argentina,1994,358592053441.545,61952880204.7193,1.3401375748685,72.732,13.1869043660659,18.1343458669981,145.13,59.2,9.8
ARG,Argentina,1995,348389357874.283,54124858891.2047,1.3103115077878,72.864,13.3494556774505,19.7714230903755,148.23,58.87,7.18
ARG,Argentina,1996,367643757074.802,61216972753.7914,1.25745217924583,73.056,12.5016776609201,21.5064684057215,142.14,54.28,9.79
ARG,Argentina,1997,397463514160.866,71374562333.2949,1.21464795933597,73.407,12.0620142457633,23.3361788437439,126.85,58.44,10.5
ARG,Argentina,1998,412766570325.764,74871471352.9671,1.17552563201514,73.412,12.4947749986829,23.3500279730689,133.3,41.87,10.63
ARG,Argentina,1999,398792535409.293,62201968787.8538,1.15304317167294,73.683,13.723211414946901,21.3827449624898,137.91,54.69,9.65
ARG,Argentina,2000,395646066535.875,59833373722.1354,1.13312807570195,73.91,13.7841913064131,22.6224447777343,129.57,46.739999999999995,11.55
ARG,Argentina,2001,378202665751.853,52693129269.7639,1.09794672757946,74.154,14.1562743129569,21.8522554515453,128.89,58.58,11.31
ARG,Argentina,2002,336999433710.193,32883416849.5726,1.06941318335345,74.312,12.235247296692,41.7527243585642,135.01,54.99,12.06
ARG,Argentina,2003,366780211148.674,46099764656.8876,1.0331399769648,74.307,11.4380567929249,40.6447480311085,153.24,61,8.72
ARG,Argentina,2004,399898899166.738,59751476384.421,1.01407652046238,74.871,11.114636067696,40.692646108947,144.62,62.32,8.219999999999999
ARG,Argentina,2005,435296589745.339,68592502942.9073,1.02745772191722,75.231,12.1418612359575,40.5512709706238,139.4,59.64,8.24
ARG,Argentina,2006,470325565798.353,73302412020.6709,1.02824760534561,75.279,12.4294153726307,40.4334798719151,151.24,62.38,8.91
ARG,Argentina,2007,512690850741.56,88204836540.4656,0.991101935066697,74.783,12.9893238963619,40.945170618571,145.42000000000002,57.56,9.06
ARG,Argentina,2008,533491913656.279,94099958646.0021,1.01288878477428,75.428,13.6335132595631,40.4026733790382,156.21,65.07,7.22
ARG,Argentina,2009,501917060966.235,72389645451.0118,1.05977470732485,75.577,15.903896746884,34.0571269054879,155.96,71.07000000000001,7.69
ARG,Argentina,2010,552738161802.463,95946771647.2003,1.05636332156278,75.68,15.1637178886417,34.9710132635696,154.52,59.39,8.42
ARG,Argentina,2011,585924294024.785,111387236082.203,1.06474009749784,76.1,15.6889565165983,35.2061549999644,145.94,61.3,7.22
ARG,Argentina,2012,579910247223.428,98928498895.7575,1.0276613644946,75.802,16.6454378106252,30.5265423717108,145.45,67.33,9.29
