Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Aruba;ABW;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;4,06E+14;4,88E+14;5,97E+14;6,96E+14;7,65E+14;8,72E+14;9,59E+14;1,08E+14;1,25E+14;1,32E+14;1,38E+14;1,53E+14;1,67E+14;1,72E+14;1,87E+14;1,90E+14;1,96E+14;2,04E+14;2,25E+14;2,36E+14;2,47E+14;2,68E+14;2,84E+14;2,55E+14;2,45E+14;2,64E+14;2,62E+14;2,73E+14;2,79E+14;2,96E+14;2,98E+13;3,09E+14;3,28E+14;3,35E+14;2,47E+14;2,88E+14;3,32E+14;3,83E+14;4,27E+14;;
Africa Eastern and Southern;AFE;GDP (current US$);NY.GDP.MKTP.CD;2,42E+14;2,50E+14;2,71E+14;3,18E+14;3,03E+14;3,38E+14;3,69E+14;3,84E+14;4,17E+14;4,70E+14;4,76E+14;5,22E+14;5,67E+14;7,31E+14;8,95E+14;9,53E+14;9,60E+14;1,09E+14;1,24E+14;1,42E+14;1,78E+14;1,85E+14;1,78E+14;1,86E+14;1,70E+14;1,49E+14;1,61E+14;1,90E+14;2,07E+14;2,21E+14;2,56E+14;2,77E+14;2,41E+12;2,40E+13;2,43E+14;2,73E+14;2,73E+14;2,88E+14;2,69E+13;2,65E+14;2,87E+14;2,61E+14;2,70E+14;3,58E+14;4,46E+14;5,22E+14;5,88E+14;6,75E+14;7,27E+14;7,27E+14;8,64E+14;9,60E+14;9,69E+14;9,81E+14;9,99E+14;9,10E+14;8,32E+14;9,78E+14;1,02E+14;1,02E+14;9,39E+14;1,11E+14;1,23E+14;1,18E+14;1,24E+14;;
Afghanistan;AFG;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,52E+14;2,81E+14;3,83E+14;4,52E+14;5,22E+14;6,20E+14;6,97E+14;9,75E+14;1,01E+14;1,24E+14;1,59E+14;1,78E+14;1,99E+14;2,01E+14;2,05E+14;1,91E+14;1,81E+14;1,88E+14;1,81E+14;1,88E+14;2,00E+14;1,43E+14;1,45E+14;1,72E+14;;;
Africa Western and Central;AFW;GDP (current US$);NY.GDP.MKTP.CD;1,19E+14;1,27E+14;1,36E+14;1,45E+14;1,58E+14;1,69E+14;1,80E+13;1,65E+13;1,70E+14;1,93E+14;2,67E+14;2,45E+14;2,95E+14;3,69E+14;4,97E+14;5,73E+14;6,84E+14;7,18E+14;7,88E+14;9,67E+14;1,21E+13;2,18E+14;1,96E+14;1,51E+12;1,31E+14;1,38E+13;1,10E+12;1,13E+14;1,12E+14;1,05E+14;1,24E+14;1,31E+14;1,25E+14;1,31E+14;1,35E+14;2,08E+14;2,64E+14;2,76E+14;2,97E+14;1,40E+14;1,43E+14;1,51E+14;1,80E+14;2,09E+14;2,58E+14;3,17E+14;4,02E+14;4,71E+14;5,74E+14;5,15E+14;6,06E+14;6,91E+13;7,48E+14;8,44E+13;9,04E+14;7,78E+14;7,00E+14;6,94E+14;7,78E+14;1,03E+13;9,64E+14;1,03E+14;1,06E+14;9,38E+14;7,36E+14;;
Angola;AGO;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;5,93E+14;5,55E+14;5,55E+14;5,78E+14;6,13E+14;7,55E+12;7,07E+14;8,08E+14;8,77E+14;1,02E+14;1,12E+14;1,06E+13;8,31E+14;5,77E+14;4,44E+14;5,54E+14;7,53E+14;7,65E+14;6,51E+14;6,15E+14;9,13E+14;8,94E+14;1,73E+13;2,03E+14;2,70E+14;4,14E+14;5,87E+13;7,30E+14;9,88E+14;8,17E+14;9,55E+14;1,26E+14;1,44E+14;1,49E+14;1,53E+14;1,03E+14;5,99E+14;8,44E+14;8,95E+13;8,07E+14;5,89E+14;7,96E+14;1,31E+14;1,07E+14;1,01E+14;;
Albania;ALB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;1,58E+14;1,81E+14;1,86E+14;1,88E+14;1,86E+12;1,90E+14;2097326250;2080796250;2051236250;2253090000;2028553750;1,10E+14;6,52E+14;1,19E+14;1,88E+14;2,91E+14;3,23E+14;2,29E+14;2,60E+14;3,28E+14;3,58E+14;4,06E+14;4,52E+14;5,80E+14;7,41E+14;8,26E+13;9,15E+14;1,11E+14;1,33E+14;1,23E+14;1,21E+13;1,30E+14;1,22E+14;1,28E+14;1,33E+14;1,15E+14;1,20E+14;1,33E+14;1,54E+14;1,56E+14;1,52E+14;1,80E+14;1,90E+14;2,35E+14;2,70E+14;;
